GeoName,Year,variable,value,pop_i,pop_j,euc_dist,per_cap_per_inc,Tot_emp,per_cap_per_inc_j,Tot_emp_j,Dest_fact,Orig_fact
Alabama,3,Texas,4413,4831586,26479646,12.5925259082707,36099,2523338,43797,15529989,1,42
Alabama,3,Utah,1881,4831586,2898773,25.6946488672117,36099,2523338,36715,1753371,1,43
Alabama,3,Vermont,19,4831586,626603,18.1109646138954,36099,2523338,45912,425029,1,44
Alabama,3,Virginia,3303,4831586,8255861,9.24245058021394,36099,2523338,48838,4898765,1,45
Alabama,3,Washington,589,4831586,6966252,36.6310897003859,36099,2523338,48280,3991724,1,46
Alabama,3,West Virginia,109,4831586,1854768,8.53620314180072,36099,2523338,34929,913619,1,47
Alabama,3,Wisconsin,296,4831586,5738012,12.2642896797812,36099,2523338,43176,3539937,1,48
Alabama,3,Wyoming,282,4831586,582620,23.1015547725307,36099,2523338,52847,400402,1,49
Alabama,4,Arizona,837,4843737,6732873,24.8817408146662,37256,2551872,38232,3448173,1,2
Alabama,4,Arkansas,1450,4843737,2968759,5.99456062204918,37256,2551872,38247,1587414,1,3
Alabama,4,California,5402,4843737,38586706,33.0855664512805,37256,2551872,52376,21997098,1,4
Alabama,4,Colorado,2019,4843737,5352637,19.7223165819368,37256,2551872,50687,3467519,1,5
Alabama,4,Connecticut,497,4843737,3595697,16.6389979271702,37256,2551872,66469,2266029,1,6
Alabama,4,Delaware,116,4843737,933131,12.9116523638172,37256,2551872,45962,556517,1,7
Alabama,4,District of Columbia,123,4843737,663603,11.5610073218641,37256,2551872,71217,860669,1,8
Alabama,4,Florida,14403,4843737,19853880,5.9891092977696,37256,2551872,43123,10937166,1,9
Alabama,4,Georgia,20220,4843737,10071204,3.38468634544483,37256,2551872,39786,5670735,1,10
Alabama,4,Idaho,508,4843737,1632248,30.1514969123515,37256,2551872,37879,925519,1,11
Alabama,4,Illinois,2263,4843737,12885092,7.65107542935861,37256,2551872,49459,7613484,1,12
Alabama,4,Indiana,2065,4843737,6596019,7.1391186758849,37256,2551872,41083,3740428,1,13
Alabama,4,Iowa,231,4843737,3110643,11.4329651547189,37256,2551872,44783,2038926,1,14
Alabama,4,Kansas,496,4843737,2901861,12.8793229857087,37256,2551872,46858,1895859,1,15
Alabama,4,Kentucky,3718,4843737,4416992,4.98109752055639,37256,2551872,37563,2440072,1,16
Alabama,4,Louisiana,2353,4843737,4645938,5.44294212410297,37256,2551872,42668,2684755,1,17
Alabama,4,Maine,0,4843737,1331217,21.6371863825477,37256,2551872,41804,810868,1,18
Alabama,4,Maryland,1318,4843737,5960064,11.837388505843,37256,2551872,54670,3537654,1,19
Alabama,4,Massachusetts,601,4843737,6764864,17.746086068917,37256,2551872,59943,4447626,1,20
Alabama,4,Michigan,2559,4843737,9932033,10.917835980458,37256,2551872,41141,5412041,1,21
Alabama,4,Minnesota,264,4843737,5452665,15.4570772246487,37256,2551872,50243,3603717,1,22
Alabama,4,Mississippi,5473,4843737,2991892,2.83759875603229,37256,2551872,34530,1556753,1,23
Alabama,4,Missouri,2347,4843737,6059130,7.93854309848409,37256,2551872,41755,3596751,1,24
Alabama,4,Montana,0,4843737,1022657,26.8976490252795,37256,2551872,41869,648873,1,25
Alabama,4,Nebraska,284,4843737,1879955,15.648712917564,37256,2551872,48937,1282745,1,26
Alabama,4,Nevada,617,4843737,2818935,30.5412530271869,37256,2551872,41486,1608494,1,27
Alabama,4,New Hampshire,250,4843737,1334257,18.7425779288207,37256,2551872,52632,844499,1,28
Alabama,4,New Jersey,635,4843737,8867277,14.237834845523,37256,2551872,58651,5206784,1,29
Alabama,4,New Mexico,570,4843737,2090236,19.3491553431003,37256,2551872,37196,1083772,1,30
Alabama,4,New York,2283,4843737,19653431,15.208170555399,37256,2551872,56751,11865518,1,31
Alabama,4,North Carolina,2418,4843737,9937295,7.94015585266918,37256,2551872,40051,5568662,1,32
Alabama,4,North Dakota,0,4843737,738736,20.0220007332487,37256,2551872,56212,606989,1,33
Alabama,4,Ohio,4577,4843737,11606573,8.51861258777688,37256,2551872,42740,6771468,1,34
Alabama,4,Oklahoma,1218,4843737,3879187,11.0393904009315,37256,2551872,45531,2272885,1,35
Alabama,4,Oregon,194,4843737,3965447,35.5213487719158,37256,2551872,42469,2323122,1,36
Alabama,4,Pennsylvania,1444,4843737,12792392,12.1184321152575,37256,2551872,48418,7434313,1,37
Alabama,4,Rhode Island,0,4843737,1056511,17.6499276485593,37256,2551872,48143,613133,1,38
Alabama,4,South Carolina,2255,4843737,4826858,6.03630154561345,37256,2551872,37599,2564448,1,39
Alabama,4,South Dakota,0,4843737,849670,17.7552591495404,37256,2551872,46927,589296,1,40
Alabama,4,Tennessee,7770,4843737,6544617,3.09086542353073,37256,2551872,40778,3772332,1,41
Alabama,4,Texas,6422,4843737,26963092,12.5925259082707,37256,2551872,46312,16000512,1,42
Alabama,4,Utah,599,4843737,2938327,25.6946488672117,37256,2551872,38505,1803953,1,43
Alabama,4,Vermont,179,4843737,625693,18.1109646138954,37256,2551872,47766,428938,1,44
Alabama,4,Virginia,1925,4843737,8315430,9.24245058021394,37256,2551872,50734,4953354,1,45
Alabama,4,Washington,1143,4843737,7057531,36.6310897003859,37256,2551872,51481,4094309,1,46
Alabama,4,West Virginia,1162,4843737,1850569,8.53620314180072,37256,2551872,36131,911516,1,47
Alabama,4,Wisconsin,234,4843737,5753199,12.2642896797812,37256,2551872,44930,3585838,1,48
Alabama,4,Wyoming,307,4843737,583159,23.1015547725307,37256,2551872,56649,406343,1,49
Alabama,5,Arizona,1865,4854803,6832810,24.8817408146662,38871,2587451,39699,3547627,1,2
Alabama,5,Arkansas,2329,4854803,2979732,5.99456062204918,38871,2587451,39491,1610805,1,3
Alabama,5,California,3397,4854803,38904296,33.0855664512805,38871,2587451,55853,22687196,1,4
Alabama,5,Colorado,1927,4854803,5454328,19.7223165819368,38871,2587451,52219,3574243,1,5
Alabama,5,Connecticut,894,4854803,3588561,16.6389979271702,38871,2587451,68340,2288113,1,6
Alabama,5,Delaware,77,4854803,942065,12.9116523638172,38871,2587451,47976,568952,1,7
Alabama,5,District of Columbia,521,4854803,677014,11.5610073218641,38871,2587451,75277,873232,1,8
Alabama,5,Florida,15755,4854803,20219111,5.9891092977696,38871,2587451,45251,11367160,1,9
Alabama,5,Georgia,27433,4854803,10183353,3.38468634544483,38871,2587451,41784,5832585,1,10
Alabama,5,Idaho,0,4854803,1652495,30.1514969123515,38871,2587451,39748,949506,1,11
Alabama,5,Illinois,2400,4854803,12859585,7.65107542935861,38871,2587451,51751,7748868,1,12
Alabama,5,Indiana,1184,4854803,6611442,7.1391186758849,38871,2587451,42630,3796419,1,13
Alabama,5,Iowa,478,4854803,3122541,11.4329651547189,38871,2587451,46274,2059837,1,14
Alabama,5,Kansas,1277,4854803,2910717,12.8793229857087,38871,2587451,47315,1910954,1,15
Alabama,5,Kentucky,1365,4854803,4429126,4.98109752055639,38871,2587451,39172,2473915,1,16
Alabama,5,Louisiana,1566,4854803,4666998,5.44294212410297,38871,2587451,42878,2696590,1,17
Alabama,5,Maine,97,4854803,1329098,21.6371863825477,38871,2587451,43595,816552,1,18
Alabama,5,Maryland,1435,4854803,5988528,11.837388505843,38871,2587451,57007,3602936,1,19
Alabama,5,Massachusetts,446,4854803,6797484,17.746086068917,38871,2587451,63588,4631417,1,20
Alabama,5,Michigan,2540,4854803,9934483,10.917835980458,38871,2587451,43465,5501549,1,21
Alabama,5,Minnesota,193,4854803,5484002,15.4570772246487,38871,2587451,52336,3662852,1,22
Alabama,5,Mississippi,7442,4854803,2990231,2.83759875603229,38871,2587451,35185,1568218,1,23
Alabama,5,Missouri,1174,4854803,6075411,7.93854309848409,38871,2587451,43127,3655804,1,24
Alabama,5,Montana,120,4854803,1031495,26.8976490252795,38871,2587451,43583,660524,1,25
Alabama,5,Nebraska,339,4854803,1892059,15.648712917564,38871,2587451,50704,1302833,1,26
Alabama,5,Nevada,539,4854803,2868531,30.5412530271869,38871,2587451,44290,1664658,1,27
Alabama,5,New Hampshire,166,4854803,1337480,18.7425779288207,38871,2587451,54487,860657,1,28
Alabama,5,New Jersey,193,4854803,8870312,14.237834845523,38871,2587451,61136,5303122,1,29
Alabama,5,New Mexico,773,4854803,2090071,19.3491553431003,38871,2587451,38306,1092255,1,30
Alabama,5,New York,2061,4854803,19657321,15.208170555399,38871,2587451,59235,12099185,1,31
Alabama,5,North Carolina,3974,4854803,10037218,7.94015585266918,38871,2587451,41816,5695035,1,32
Alabama,5,North Dakota,1162,4854803,755537,20.0220007332487,38871,2587451,53657,597642,1,33
Alabama,5,Ohio,1513,4854803,11622315,8.51861258777688,38871,2587451,44386,6862127,1,34
Alabama,5,Oklahoma,725,4854803,3910518,11.0393904009315,38871,2587451,44181,2287598,1,35
Alabama,5,Oregon,593,4854803,4018542,35.5213487719158,38871,2587451,45133,2391112,1,36
Alabama,5,Pennsylvania,2690,4854803,12789838,12.1184321152575,38871,2587451,50387,7510351,1,37
Alabama,5,Rhode Island,43,4854803,1056886,17.6499276485593,38871,2587451,49901,627028,1,38
Alabama,5,South Carolina,1968,4854803,4896006,6.03630154561345,38871,2587451,39413,2636738,1,39
Alabama,5,South Dakota,103,4854803,854663,17.7552591495404,38871,2587451,48640,592591,1,40
Alabama,5,Tennessee,7206,4854803,6595354,3.09086542353073,38871,2587451,42599,3859507,1,41
Alabama,5,Texas,6469,4854803,27468531,12.5925259082707,38871,2587451,46555,16414591,1,42
Alabama,5,Utah,362,4854803,2983626,25.6946488672117,38871,2587451,40874,1865926,1,43
Alabama,5,Vermont,173,4854803,625810,18.1109646138954,38871,2587451,49348,432508,1,44
Alabama,5,Virginia,4772,4854803,8367303,9.24245058021394,38871,2587451,52707,5060290,1,45
Alabama,5,Washington,871,4854803,7167287,36.6310897003859,38871,2587451,53843,4199112,1,46
Alabama,5,West Virginia,445,4854803,1843332,8.53620314180072,38871,2587451,37036,904242,1,47
Alabama,5,Wisconsin,491,4854803,5762927,12.2642896797812,38871,2587451,46843,3624584,1,48
Alabama,5,Wyoming,164,4854803,586389,23.1015547725307,38871,2587451,56745,406033,1,49
Alabama,6,Arizona,1022,4866824,6944767,24.8817408146662,39509,2619796,40779,3645936,1,2
Alabama,6,Arkansas,495,4866824,2991815,5.99456062204918,39509,2619796,40360,1629497,1,3
Alabama,6,California,6611,4866824,39149186,33.0855664512805,39509,2619796,58074,23164907,1,4
Alabama,6,Colorado,2177,4866824,5543844,19.7223165819368,39509,2619796,52431,3667987,1,5
