Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2013,Wisconsin,296,4831586,5738012,12.2642896797812,36099,2523338,43176,3539937
Alabama,2013,Wyoming,282,4831586,582620,23.1015547725307,36099,2523338,52847,400402
Alabama,2014,Arizona,837,4843737,6732873,24.8817408146662,37256,2551872,38232,3448173
Alabama,2014,Arkansas,1450,4843737,2968759,5.99456062204918,37256,2551872,38247,1587414
Alabama,2014,California,5402,4843737,38586706,33.0855664512805,37256,2551872,52376,21997098
Alabama,2014,Colorado,2019,4843737,5352637,19.7223165819368,37256,2551872,50687,3467519
Alabama,2014,Connecticut,497,4843737,3595697,16.6389979271702,37256,2551872,66469,2266029
Alabama,2014,Delaware,116,4843737,933131,12.9116523638172,37256,2551872,45962,556517
Alabama,2014,District of Columbia,123,4843737,663603,11.5610073218641,37256,2551872,71217,860669
Alabama,2014,Florida,14403,4843737,19853880,5.9891092977696,37256,2551872,43123,10937166
Alabama,2014,Georgia,20220,4843737,10071204,3.38468634544483,37256,2551872,39786,5670735
Alabama,2014,Idaho,508,4843737,1632248,30.1514969123515,37256,2551872,37879,925519
Alabama,2014,Illinois,2263,4843737,12885092,7.65107542935861,37256,2551872,49459,7613484
Alabama,2014,Indiana,2065,4843737,6596019,7.1391186758849,37256,2551872,41083,3740428
Alabama,2014,Iowa,231,4843737,3110643,11.4329651547189,37256,2551872,44783,2038926
Alabama,2014,Kansas,496,4843737,2901861,12.8793229857087,37256,2551872,46858,1895859
Alabama,2014,Kentucky,3718,4843737,4416992,4.98109752055639,37256,2551872,37563,2440072
Alabama,2014,Louisiana,2353,4843737,4645938,5.44294212410297,37256,2551872,42668,2684755
Alabama,2014,Maine,0,4843737,1331217,21.6371863825477,37256,2551872,41804,810868
Alabama,2014,Maryland,1318,4843737,5960064,11.837388505843,37256,2551872,54670,3537654
Alabama,2014,Massachusetts,601,4843737,6764864,17.746086068917,37256,2551872,59943,4447626
Alabama,2014,Michigan,2559,4843737,9932033,10.917835980458,37256,2551872,41141,5412041
Alabama,2014,Minnesota,264,4843737,5452665,15.4570772246487,37256,2551872,50243,3603717
Alabama,2014,Mississippi,5473,4843737,2991892,2.83759875603229,37256,2551872,34530,1556753
Alabama,2014,Missouri,2347,4843737,6059130,7.93854309848409,37256,2551872,41755,3596751
Alabama,2014,Montana,0,4843737,1022657,26.8976490252795,37256,2551872,41869,648873
Alabama,2014,Nebraska,284,4843737,1879955,15.648712917564,37256,2551872,48937,1282745
Alabama,2014,Nevada,617,4843737,2818935,30.5412530271869,37256,2551872,41486,1608494
Alabama,2014,New Hampshire,250,4843737,1334257,18.7425779288207,37256,2551872,52632,844499
Alabama,2014,New Jersey,635,4843737,8867277,14.237834845523,37256,2551872,58651,5206784
Alabama,2014,New Mexico,570,4843737,2090236,19.3491553431003,37256,2551872,37196,1083772
Alabama,2014,New York,2283,4843737,19653431,15.208170555399,37256,2551872,56751,11865518
Alabama,2014,North Carolina,2418,4843737,9937295,7.94015585266918,37256,2551872,40051,5568662
Alabama,2014,North Dakota,0,4843737,738736,20.0220007332487,37256,2551872,56212,606989
Alabama,2014,Ohio,4577,4843737,11606573,8.51861258777688,37256,2551872,42740,6771468
Alabama,2014,Oklahoma,1218,4843737,3879187,11.0393904009315,37256,2551872,45531,2272885
Alabama,2014,Oregon,194,4843737,3965447,35.5213487719158,37256,2551872,42469,2323122
Alabama,2014,Pennsylvania,1444,4843737,12792392,12.1184321152575,37256,2551872,48418,7434313
Alabama,2014,Rhode Island,0,4843737,1056511,17.6499276485593,37256,2551872,48143,613133
Alabama,2014,South Carolina,2255,4843737,4826858,6.03630154561345,37256,2551872,37599,2564448
Alabama,2014,South Dakota,0,4843737,849670,17.7552591495404,37256,2551872,46927,589296
Alabama,2014,Tennessee,7770,4843737,6544617,3.09086542353073,37256,2551872,40778,3772332
Alabama,2014,Texas,6422,4843737,26963092,12.5925259082707,37256,2551872,46312,16000512
Alabama,2014,Utah,599,4843737,2938327,25.6946488672117,37256,2551872,38505,1803953
Alabama,2014,Vermont,179,4843737,625693,18.1109646138954,37256,2551872,47766,428938
Alabama,2014,Virginia,1925,4843737,8315430,9.24245058021394,37256,2551872,50734,4953354
Alabama,2014,Washington,1143,4843737,7057531,36.6310897003859,37256,2551872,51481,4094309
